k,gamma,Smoothness,Curve structure
1,2.0,0.0012918108419838759,0.005351787773933081
2,2.0,0.04518262206843521,0.0766474432910419
4,2.0,0.12272202998846599,0.1484044598231449
8,2.0,0.20190695886197613,0.19461745482506726
16,2.0,0.2875970780469051,0.20369088811995384
32,2.0,0.392479815455594,0.1816070742022299
64,2.0,0.5213379469434833,0.1027604767397155
128,2.0,0.6075355632449058,0.018500576701268746
1,2.1,-0.00032295271049592733,0.005643983083429505
2,2.1,0.041999231064974996,0.07663206459054206
4,2.1,0.1201691657054979,0.14766628219915415
8,2.1,0.19929257977700882,0.19347943098808146
16,2.1,0.2821991541714725,0.20505959246443675
32,2.1,0.3853902345251827,0.18488273740868896
64,2.1,0.515048058439062,0.10855824682814302
128,2.1,0.605936178392926,0.020222991157247207
1,2.2,0.000399846212994992,0.0017224144559784826
2,2.2,0.03890811226451368,0.07197231833910034
4,2.2,0.11698577470203769,0.14669742406766628
8,2.2,0.1968627450980393,0.19449442522106886
16,2.2,0.2790157631680123,0.2034140715109573
32,2.2,0.3770242214532871,0.18685121107266434
64,2.2,0.5074663590926567,0.1150326797385621
128,2.2,0.6003537101114957,0.025682429834678965
1,2.31,0.0015993848519800236,0.0019992310649750156
2,2.31,0.0350019223375625,0.07034217608612076
4,2.31,0.11480199923106499,0.1430988081507113
8,2.31,0.19421760861207232,0.19280276816608996
16,2.31,0.2747404844290658,0.2063052672049212
32,2.31,0.3689350249903884,0.19158785082660512
64,2.31,0.49936178392925806,0.12119953863898501
128,2.31,0.5905728565936179,0.035401768550557475
1,2.41,-0.0002153018069973034,0.003506343713956195
2,2.41,0.03294117647058825,0.07018838908112263
4,2.41,0.11224913494809691,0.13685505574778933
8,2.41,0.1884659746251442,0.1863129565551711
16,2.41,0.26988081507112643,0.20372164552095348
32,2.41,0.361922337562476,0.19174163783160325
64,2.41,0.4902729719338716,0.1265359477124183
128,2.41,0.5861745482506728,0.0398000768935025
1,2.51,-0.0012456747404843704,0.001768550557477877
2,2.51,0.03221837754709733,0.06746635909265664
4,2.51,0.11177239523260285,0.13339484813533253
8,2.51,0.1851903114186852,0.18872741253364086
16,2.51,0.2655440215301807,0.20442906574394462
32,2.51,0.3580930411380238,0.19470972702806613
64,2.51,0.4883813917723953,0.12688965782391387
128,2.51,0.5842060745866975,0.041799307958477507
1,2.61,0.0006612841214917453,0.0014609765474817293
2,2.61,0.029296424452133818,0.06306805074971167
4,2.61,0.10695886197616306,0.13657823913879275
8,2.61,0.18040753556324501,0.18526720492118412
16,2.61,0.2595309496347559,0.20422914263744713
32,2.61,0.3467435601691657,0.19692425990003848
64,2.61,0.4723106497500961,0.1384390618992695
128,2.61,0.5711495578623607,0.055009611687812376
1,2.71,0.000507497116493727,0.0048442906574394096
2,2.71,0.03021914648212226,0.05623990772779697
4,2.71,0.1043752402921953,0.135040369088812
8,2.71,0.17996155324875057,0.18100730488273736
16,2.71,0.2553479430988081,0.20213763936947327
32,2.71,0.3396386005382545,0.20021530180699731
64,2.71,0.46283737024221455,0.14508266051518648
128,2.71,0.5625528642829682,0.06329873125720875
1,2.82,0.0012610534409842056,0.0040907343329488755
