K,TurbPower,Smoothness,Curve structure
1,2.0,0.004542762305781378,0.006470267098172444
2,2.0,0.0889632095391848,0.1930468531734555
4,2.0,0.19027786713892864,0.2976979801806761
8,2.0,0.30712697491456836,0.281031237022068
16,2.0,0.41457726079307927,0.22069850821223108
32,2.0,0.5256111192562616,0.13200402701474306
64,2.0,0.62650779585667,0.038937702845757365
128,2.0,0.6632876354596695,0.0025805655520439365
1,2.1,0.003188537194863894,0.007372979826730297
2,2.1,0.08797905515289156,0.18621355667971012
4,2.1,0.1876798098507308,0.2930896539496515
8,2.1,0.3007984407946411,0.2843111488425172
16,2.1,0.4035988801975842,0.22892360434830245
32,2.1,0.5114806485531256,0.14457898518994228
64,2.1,0.6180693986204289,0.047306035430907376
128,2.1,0.6616902187735114,0.004228416927723376
1,2.2,0.0037443558472796123,0.004198239271288817
2,2.2,0.08485956167716618,0.17894120430432459
4,2.2,0.18392543165612957,0.2904809036890467
8,2.2,0.29706383734913516,0.2856916538368642
16,2.2,0.3973539095302327,0.23373326167348416
32,2.2,0.5050958271653705,0.1503981438896292
64,2.2,0.6161379595549012,0.049190126719470255
128,2.2,0.6612220234919688,0.004682500263275063
1,2.31,0.0030441033122118877,0.0030194175525777855
2,2.31,0.07969037384853739,0.1755403006052912
4,2.31,0.17984910631653567,0.28820267840166236
8,2.31,0.2925578413793421,0.28863988915887606
16,2.31,0.39410235310828173,0.23627783099958907
32,2.31,0.5026968957773332,0.15231033873444932
64,2.31,0.6149967866127342,0.0502563387970006
128,2.31,0.6609730579545066,0.004925476652826577
1,2.41,0.0024470172290163017,0.002357814666586633
2,2.41,0.0768440527003646,0.16797868472752345
4,2.41,0.17310947437844443,0.2863563168192891
8,2.41,0.28930697488984697,0.28821634141316355
16,2.41,0.38795538375310373,0.2408986319022329
32,2.41,0.49124054623256924,0.1623514593345991
64,2.41,0.606659419286488,0.05810541766129296
128,2.41,0.658000177850919,0.007867870640941018
1,2.51,0.0007378920862741167,0.002713263475538019
2,2.51,0.07246379264544228,0.15995275586328161
4,2.51,0.16745212402696757,0.2846476929744929
8,2.51,0.28312791597453996,0.2927540557238212
16,2.51,0.37911832954327657,0.24823034287776782
32,2.51,0.48279140948988314,0.1689712389276841
64,2.51,0.5979497700709175,0.06630952129946444
128,2.51,0.6558807559051707,0.009924406589654473
1,2.61,-0.0009748575915957125,0.0022684458368616434
2,2.61,0.06739288312574493,0.15317468070040108
4,2.61,0.16219948215544128,0.28221095587689354
8,2.61,0.2797747490110685,0.2917707212709896
16,2.61,0.37338674733444505,0.2510631980726258
32,2.61,0.47059255111401627,0.17946907573526483
64,2.61,0.5856992949000084,0.07812875821548139
128,2.61,0.6540394709599082,0.011836586338887744
1,2.71,-0.0011817291003974328,0.0004235687670136601
2,2.71,0.06501929579268478,0.14739263776083575
4,2.71,0.15592914608619207,0.27994140836740317
8,2.71,0.2727428680646297,0.2952580786017043
16,2.71,0.36840231893583225,0.25473171865546396
32,2.71,0.4641189173837041,0.18482585691103853
64,2.71,0.5813161929125228,0.08244850131363143
128,2.71,0.6532187037043866,0.01263331437998179
1,2.82,-3.78185875957171e-05,-0.0015713816227460597
2,2.82,0.06136748652955376,0.13872178563226367
4,2.82,0.15052551592306346,0.27719721076987475
8,2.82,0.26824303271002986,0.29728531923472007
16,2.82,0.36617769443616494,0.2568117290588724
32,2.82,0.4625902795194898,0.18604715318057338
64,2.82,0.5807492021879355,0.08302420653408253
128,2.82,0.6532590096403628,0.012527668384294161
1,2.92,-0.001807724749548767,0.001967811129374719
2,2.92,0.06006313480101222,0.12803249378851353
4,2.92,0.14577303076771947,0.27232106643774756
8,2.92,0.26456486992834644,0.29764601030931226
16,2.92,0.3633912198793379,0.2584052141645101
32,2.92,0.4629490010072564,0.18541849008273914
64,2.92,0.5803961203797643,0.08339243798663215
128,2.92,0.6530794923161702,0.012730919509307069
1,3.02,-0.002241273473360006,0.0021956623776872575
2,3.02,0.05523581962120566,0.12212696375424639
4,3.02,0.1439324448797027,0.26560753433481066
8,3.02,0.2611277970059,0.29679056474680826
16,3.02,0.36044219212127154,0.2600268726778979
32,3.02,0.46216294172115274,0.18596901969400448
64,3.02,0.5794601446341237,0.084200111550974
128,3.02,0.6526215175360799,0.013128047241860378
