k,gamma,Smoothness,Curve structure
1,0.1,0.004774915669669422,0.021477078268696437
2,0.1,0.0579646447344635,0.13044260734836355
4,0.1,0.1319971589009063,0.3370589953350608
8,0.1,0.15206164020258423,0.43806854426599345
16,0.1,0.14988806044038339,0.47623169242997754
32,0.1,0.13494544403071823,0.5042665950296041
64,0.1,0.1140120843785819,0.5289095348415316
128,0.1,0.0985762069647454,0.5439331662907566
128,0.16,0.10815499506813614,0.5333318669868755
64,0.16,0.12251993778763481,0.518823216326852
16,0.16,0.15263206704993343,0.44690138624653475
32,0.16,0.1470108027203209,0.485086404669775
4,0.16,0.08013429554817114,0.18453170984343617
2,0.16,0.005310939670067294,0.01896188261528503
1,0.16,0.0007173679023949053,0.0017676828583707005
8,0.16,0.13599766153446785,0.36649829682229024
1,0.22,0.00032964140917174367,0.0057974381272154485
2,0.22,-0.0005786008674097398,-0.001020825554679139
4,0.22,0.03609604604271871,0.0866524421163713
8,0.22,0.11324356483386616,0.2783535767655433
16,0.22,0.1523326219700296,0.40695864055996284
32,0.22,0.15326558752279174,0.4684634427125098
64,0.22,0.1261995413707761,0.5126103875126921
128,0.22,0.11544128956001509,0.5247891228005318
32,0.28,0.15229346727584014,0.45549845912575615
128,0.28,0.12208914509860708,0.5162710140663768
64,0.28,0.13148819871414957,0.5039386904268073
16,0.28,0.14260516505363074,0.369446936515418
2,0.28,-0.0005218877993768967,-0.006291624682759844
4,0.28,0.011634401883055812,0.03118251044254322
1,0.28,0.003323431958727252,7.266890378943014e-05
8,0.28,0.08051716708837453,0.20876279855219654
1,0.34,-0.0004850042186977377,-0.0020141664363358958
2,0.34,-0.0014651231672987985,0.0014813924588104044
4,0.34,0.003028159694813959,0.009271134704454564
8,0.34,0.06003634717289724,0.14615226110928156
16,0.34,0.12939032459691424,0.32833020357131404
32,0.34,0.15399214394173455,0.43577805366066824
64,0.34,0.13403292497365898,0.49730969614715825
128,0.34,0.12847554131379246,0.507812629257325
128,0.4,0.13363174066123945,0.500233023865397
64,0.4,0.1368839387271566,0.48948142347759704
32,0.4,0.15422416669946803,0.4157407157857689
16,0.4,0.10981842639846351,0.29273245072349985
1,0.4,0.005898092402723654,0.00934003824957863
4,0.4,-0.0031564175063606426,0.005032548535794379
2,0.4,0.0027872163253549465,-0.0020678052051008033
8,0.4,0.04193951549524799,0.08557395927502981
32,0.46,0.15236539478939554,0.39350108606360573
128,0.46,0.13390888098885073,0.49723689782125996
64,0.46,0.13621088533292025,0.4833306075736947
16,0.46,0.1001404496776584,0.24829814047922943
2,0.46,-0.0023834570376819464,1.398236383864937e-05
4,0.46,0.00017525458584372045,-0.0014622239545762916
1,0.46,-0.0029176577997809816,-0.00010532422996639701
8,0.46,0.02308877936403081,0.049335716142187014
1,0.51,-2.3888904471192074e-05,0.00423538217019187
64,0.51,0.1387483564120114,0.47473042537772386
32,0.51,0.14468187630570872,0.37682164764419795
16,0.51,0.08508296418894529,0.20504662722502615
128,0.51,0.13163405633315478,0.4965393236493548
4,0.51,-0.0013399681827196974,-0.0010080528996042615
2,0.51,0.0013871523003483044,0.0029687431214355797
8,0.51,0.01304439297972887,0.026004294703281583
1,0.57,0.0005684111956212323,-0.0023173329896232775
4,0.57,-0.003836137620056357,0.005254897591983998
8,0.57,0.006456686323506988,0.018102174010937166
16,0.57,0.07222836168603342,0.16954356274123883
32,0.57,0.13926578713896193,0.3529610869274731
64,0.57,0.14913157571321267,0.457532963835145
